VCE ,leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
200.00000E-3,1.4169526E-3,1.6994802E-3,1.6741469E-3,1.9175182E-3,2.1472697E-3,2.7667728E-3,3.2811359E-3,3.2452954E-3,3.6700000E-3,4.0310675E-3,3.9976291E-3,4.6485388E-3,4.6244879E-3,5.1224688E-3,5.4869651E-3,5.0594137E-3,5.7470280E-3,5.7489659E-3,6.2346309E-3,6.5476548E-3,5.9391270E-3,6.6072992E-3,6.6353773E-3,7.0803372E-3,7.3432218E-3,6.6613709E-3,7.2931174E-3,7.3418345E-3,7.7466212E-3,7.9722040E-3
210.00000E-3,1.4339550E-3,1.7229521E-3,1.6945844E-3,1.9452332E-3,2.1880726E-3,2.8156131E-3,3.3534662E-3,3.3087362E-3,3.7599587E-3,4.1618268E-3,4.1007491E-3,4.8019903E-3,4.7627061E-3,5.3117850E-3,5.7369005E-3,5.2349893E-3,5.9918636E-3,5.9770384E-3,6.5225170E-3,6.8932110E-3,6.1885401E-3,6.9282782E-3,6.9420709E-3,7.4415328E-3,7.7520922E-3,6.9732393E-3,7.6698909E-3,7.7075006E-3,8.1582573E-3,8.4229301E-3
220.00000E-3,1.4458996E-3,1.7395525E-3,1.7089833E-3,1.9649115E-3,2.2174608E-3,2.8510130E-3,3.4072008E-3,3.3554055E-3,3.8279895E-3,4.2647704E-3,4.1798607E-3,4.9257680E-3,4.8725076E-3,5.4695698E-3,5.9556786E-3,5.3797739E-3,6.2061212E-3,6.1738586E-3,6.7823896E-3,7.2158570E-3,6.4078582E-3,7.2247402E-3,7.2227330E-3,7.7824164E-3,8.1455848E-3,7.2599380E-3,8.0284873E-3,8.0536238E-3,8.5555646E-3,8.8629829E-3
230.00000E-3,1.4542366E-3,1.7511927E-3,1.7190548E-3,1.9787498E-3,2.2383396E-3,2.8762891E-3,3.4463224E-3,3.3891198E-3,3.8782587E-3,4.3435813E-3,4.2390494E-3,5.0227592E-3,4.9573016E-3,5.5973335E-3,6.1425183E-3,5.4957697E-3,6.3891000E-3,6.3393216E-3,7.0124317E-3,7.5133917E-3,6.5962471E-3,7.4946051E-3,7.4753305E-3,8.1009653E-3,8.5222891E-3,7.5195199E-3,8.3672146E-3,8.3783093E-3,8.9372811E-3,9.2917336E-3
240.00000E-3,1.4600355E-3,1.7593130E-3,1.7260714E-3,1.9884231E-3,2.2530336E-3,2.8941450E-3,3.4743644E-3,3.4131462E-3,3.9147140E-3,4.4024411E-3,4.2824091E-3,5.0967209E-3,5.0211228E-3,5.6978240E-3,6.2977539E-3,5.5860855E-3,6.5411565E-3,6.4745224E-3,7.2113972E-3,7.7835173E-3,6.7538238E-3,7.7358689E-3,7.6980997E-3,8.3949031E-3,8.8804012E-3,7.7501709E-3,8.6840307E-3,8.6793664E-3,9.3017625E-3,9.7082102E-3
250.00000E-3,1.4640659E-3,1.7649652E-3,1.7309535E-3,1.9951651E-3,2.2633148E-3,2.9066721E-3,3.4942402E-3,3.4301076E-3,3.9407788E-3,4.4455038E-3,4.3136496E-3,5.1517868E-3,5.0681196E-3,5.7747210E-3,6.4230306E-3,5.6545702E-3,6.6639059E-3,6.5818172E-3,7.3789948E-3,8.0241061E-3,6.8819063E-3,7.9469327E-3,7.8899203E-3,8.6618763E-3,9.2177605E-3,7.9505569E-3,8.9766465E-3,8.9544577E-3,9.6470077E-3,10.111102E-3
260.00000E-3,1.4668718E-3,1.7689009E-3,1.7343548E-3,1.9998629E-3,2.2704884E-3,2.9154288E-3,3.5082247E-3,3.4420121E-3,3.9592297E-3,4.4765064E-3,4.3358848E-3,5.1919827E-3,5.1021288E-3,5.8321495E-3,6.5212378E-3,5.7053223E-3,6.7601664E-3,6.6646041E-3,7.5161787E-3,8.2335612E-3,6.9830301E-3,8.1269883E-3,8.0506917E-3,8.8997225E-3,9.5319243E-3,8.1202058E-3,9.2426984E-3,9.2013331E-3,9.9707108E-3,10.498764E-3
270.00000E-3,1.4688334E-3,1.7716492E-3,1.7367335E-3,2.0031439E-3,2.2754935E-3,2.9215451E-3,3.5180252E-3,3.4503457E-3,3.9722101E-3,4.4985673E-3,4.3515817E-3,5.2208798E-3,5.1264220E-3,5.8741819E-3,6.5961635E-3,5.7422384E-3,6.8336321E-3,6.7268804E-3,7.6252163E-3,8.4112149E-3,7.0606874E-3,8.2763645E-3,8.1815905E-3,9.1068250E-3,9.8203040E-3,8.2598209E-3,9.4800081E-3,9.4181525E-3,10.270357E-3,10.869223E-3
280.00000E-3,1.4702141E-3,1.7735789E-3,1.7384078E-3,2.0054465E-3,2.2789944E-3,2.9258258E-3,3.5248872E-3,3.4561814E-3,3.9813156E-3,4.5141454E-3,4.3626121E-3,5.2414294E-3,5.1436232E-3,5.9044680E-3,6.6519847E-3,5.7687133E-3,6.8883816E-3,6.7727348E-3,7.7094656E-3,8.5576577E-3,7.1188688E-3,8.3967068E-3,8.2850846E-3,9.2825021E-3,10.080383E-3,8.3713950E-3,9.6869265E-3,9.6038672E-3,10.543388E-3,11.220200E-3
290.00000E-3,1.4711959E-3,1.7749454E-3,1.7395978E-3,2.0070753E-3,2.2814561E-3,2.9288361E-3,3.5297009E-3,3.4602809E-3,3.9877038E-3,4.5251004E-3,4.3703528E-3,5.2559423E-3,5.1557414E-3,5.9260472E-3,6.6927706E-3,5.7875143E-3,6.9283933E-3,6.8059313E-3,7.7729233E-3,8.6748608E-3,7.1615701E-3,8.4908843E-3,8.3646601E-3,9.4273263E-3,10.310027E-3,8.4580461E-3,9.8627162E-3,9.7585753E-3,10.787448E-3,11.549154E-3
