 VB	 IB	 IC	 beta
0.83320000000000016	5.4461999999999996E-11	7.8890000000000008E-12	0.144853292203738
0.83360000000000012	4.801E-11	1.1881999999999998E-11	0.247490106227869
0.83400000000000007	4.1981E-11	1.5340999999999998E-11	0.365427217074391
0.8344	5.1825E-11	1.5694999999999997E-11	0.302846116739026
0.8348000000000001	4.5395E-11	8.521E-12	0.187707897345523
0.8352	3.7475E-11	1.3357E-11	0.35642428285523703
0.8356	5.1684E-11	1.3584E-11	0.26282795449268603
0.836	4.2519E-11	1.9353E-11	0.455161222041911
0.83640000000000014	5.8710999999999992E-11	1.0888999999999999E-11	0.185467799901211
0.8368000000000001	6.6509E-11	1.6978999999999997E-11	0.255288757912463
0.8372	4.5997E-11	1.8873E-11	0.41030936800226103
0.8376	5.990999999999999E-11	1.8409999999999998E-11	0.307294274745452
