DataName, VC, IT, IC, VT, RPT100
DataValue,1.98,0.001,0.0037368,0.112515,112.51500000000001
DataValue,1.96,0.001,0.0037351,0.11251,112.51
DataValue,1.94,0.001,0.0037346,0.11252,112.52
DataValue,1.92,0.001,0.0037336,0.11252,112.52
DataValue,1.9,0.001,0.0037327,0.112515,112.51500000000001
DataValue,1.88,0.001,0.0037313999999999,0.11251,112.51
DataValue,1.86,0.001,0.0037305,0.112515,112.51500000000001
DataValue,1.84,0.001,0.0037301,0.112515,112.51500000000001
DataValue,1.82,0.001,0.0037296,0.112515,112.51500000000001
DataValue,1.8,0.001,0.0037289,0.112515,112.51500000000001
DataValue,1.78,0.001,0.0037285,0.11252,112.52
DataValue,1.76,0.001,0.0037275999999999,0.112515,112.51500000000001
DataValue,1.74,0.001,0.0037273,0.11251,112.51
DataValue,1.72,0.001,0.003727,0.11252,112.52
DataValue,1.7,0.001,0.0037264,0.11252,112.52
DataValue,1.68,0.001,0.0037263,0.11252,112.52
DataValue,1.66,0.001,0.0037256,0.11251,112.51
DataValue,1.64,0.001,0.0037254,0.112515,112.51500000000001
DataValue,1.62,0.001,0.0037248999999999,0.112515,112.51500000000001
DataValue,1.6,0.001,0.003725,0.11251,112.51
DataValue,1.58,0.001,0.0037243,0.112515,112.51500000000001
DataValue,1.56,0.001,0.0037241,0.11252,112.52
DataValue,1.54,0.001,0.0037237,0.11251,112.51
DataValue,1.52,0.001,0.0037235,0.112515,112.51500000000001
DataValue,1.5,0.001,0.0037233,0.112515,112.51500000000001
DataValue,1.48,0.001,0.0037229,0.11252,112.52
DataValue,1.46,0.001,0.0037229999999999,0.11251,112.51
DataValue,1.44,0.001,0.0037227,0.112515,112.51500000000001
DataValue,1.42,0.001,0.0037227,0.112515,112.51500000000001
DataValue,1.4,0.001,0.0037222,0.112515,112.51500000000001
DataValue,1.38,0.001,0.0037218,0.11251,112.51
DataValue,1.36,0.001,0.0037214,0.112515,112.51500000000001
DataValue,1.34,0.001,0.0037213,0.112515,112.51500000000001
DataValue,1.32,0.001,0.0037212,0.112515,112.51500000000001
DataValue,1.3,0.001,0.0037207,0.112515,112.51500000000001
DataValue,1.28,0.001,0.0037202,0.11251,112.51
DataValue,1.26,0.001,0.0037205,0.112515,112.51500000000001
DataValue,1.24,0.001,0.0037198,0.11251,112.51
DataValue,1.22,0.001,0.0037191999999999,0.11251,112.51
DataValue,1.2,0.001,0.0037189,0.112515,112.51500000000001
DataValue,1.18,0.001,0.0037181,0.112505,112.505
DataValue,1.16,0.001,0.0037182,0.11251,112.51
DataValue,1.14,0.001,0.0037182,0.11251,112.51
DataValue,1.12,0.001,0.0037177,0.11251,112.51
DataValue,1.1,0.001,0.0037178,0.11251,112.51
DataValue,1.08,0.001,0.0037172999999999,0.112515,112.51500000000001
DataValue,1.06,0.001,0.0037164,0.11252,112.52
DataValue,1.04,0.001,0.0037164,0.11251,112.51
DataValue,1.02,0.001,0.0037156,0.112515,112.51500000000001
DataValue,1.0,0.001,0.0037146,0.112505,112.505
DataValue,0.98,0.001,0.0037138,0.11251,112.51
DataValue,0.96,0.001,0.0037136,0.112505,112.505
DataValue,0.94,0.001,0.0037132,0.11251,112.51
DataValue,0.92,0.001,0.0037125,0.112515,112.51500000000001
DataValue,0.9,0.001,0.003712,0.11251,112.51
DataValue,0.8800000000000001,0.001,0.0037112,0.112515,112.51500000000001
DataValue,0.86,0.001,0.0037106,0.112515,112.51500000000001
DataValue,0.84,0.001,0.0037094999999999,0.112515,112.51500000000001
DataValue,0.82,0.001,0.0037088,0.11251,112.51
DataValue,0.8,0.001,0.0037082,0.11251,112.51
DataValue,0.78,0.001,0.0037072,0.112515,112.51500000000001
DataValue,0.76,0.001,0.0037065,0.11251,112.51
DataValue,0.7400000000000001,0.001,0.0037054,0.112505,112.505
DataValue,0.72,0.001,0.0037041,0.11251,112.51
DataValue,0.7,0.001,0.0037032,0.11251,112.51
DataValue,0.68,0.001,0.0037027,0.11251,112.51
DataValue,0.66,0.001,0.0037013,0.11251,112.51
DataValue,0.6400000000000001,0.001,0.0037002,0.11252,112.52
DataValue,0.6200000000000001,0.001,0.003699,0.11251,112.51
DataValue,0.6,0.001,0.0036972,0.112515,112.51500000000001
DataValue,0.58,0.001,0.0036956,0.112505,112.505
DataValue,0.5599999999999999,0.001,0.0036939,0.11251,112.51
DataValue,0.54,0.001,0.0036923,0.11251,112.51
DataValue,0.52,0.001,0.0036903,0.11251,112.51
DataValue,0.5,0.001,0.0036882,0.11251,112.51
DataValue,0.48,0.001,0.0036858,0.11251,112.51
DataValue,0.4599999999999999,0.001,0.0036831,0.112515,112.51500000000001
DataValue,0.44,0.001,0.0036804,0.11251,112.51
DataValue,0.42,0.001,0.0036769,0.11251,112.51
DataValue,0.4,0.001,0.003674,0.112515,112.51500000000001
DataValue,0.38,0.001,0.0036702,0.112515,112.51500000000001
DataValue,0.36,0.001,0.0036653,0.112515,112.51500000000001
DataValue,0.34,0.001,0.0036594,0.112515,112.51500000000001
DataValue,0.32,0.001,0.0036523,0.11251,112.51
DataValue,0.3,0.001,0.0036435,0.11251,112.51
DataValue,0.2799999999999999,0.001,0.0036303999999999,0.112505,112.505
DataValue,0.26,0.001,0.0036106,0.112505,112.505
DataValue,0.24,0.001,0.003578,0.11251,112.51
DataValue,0.22,0.001,0.0035232,0.1125,112.5
DataValue,0.2,0.001,0.0034268,0.112505,112.505
DataValue,0.18,0.001,0.0032602,0.112505,112.505
DataValue,0.16,0.001,0.0029935,0.112495,112.495
DataValue,0.1399999999999999,0.001,0.0026042,0.112495,112.495
DataValue,0.12,0.001,0.0021129,0.11249,112.49
DataValue,0.1,0.001,0.0015692,0.11248,112.48
DataValue,0.08,0.001,0.0010415,0.11247,112.47
DataValue,0.06,0.001,0.00060749,0.11246,112.46
DataValue,0.04,0.001,0.00029818,0.112455,112.455
DataValue,0.02,0.001,0.00010511,0.11246,112.46
DataValue,0.0,0.001,-2.8926e-07,0.11246,112.46
DataValue,0.0,0.001,-1.82636e-06,0.112455,112.455
DataValue,0.02,0.001,0.00019713,0.112455,112.455
DataValue,0.04,0.001,0.000542,0.11247,112.47
DataValue,0.06,0.001,0.00106292,0.1124749999999999,112.475
DataValue,0.08,0.001,0.0017609,0.11248,112.48
DataValue,0.1,0.001,0.0025971,0.11249,112.49
DataValue,0.12,0.001,0.0034849,0.11251,112.51
DataValue,0.1399999999999999,0.001,0.0043574,0.112525,112.525
DataValue,0.16,0.001,0.0051558,0.11253,112.53
DataValue,0.18,0.001,0.0058141,0.11254,112.54
DataValue,0.2,0.001,0.0063201,0.112555,112.555
DataValue,0.22,0.001,0.0066676,0.112555,112.555
DataValue,0.24,0.001,0.0068915,0.112555,112.555
DataValue,0.26,0.001,0.0070298999999999,0.11256,112.56
DataValue,0.2799999999999999,0.001,0.0071138,0.112565,112.565
DataValue,0.3,0.001,0.0071673,0.112565,112.565
DataValue,0.32,0.001,0.0072025,0.112555,112.555
DataValue,0.34,0.001,0.0072267,0.11256,112.56
DataValue,0.36,0.001,0.0072447,0.112565,112.565
DataValue,0.38,0.001,0.0072586,0.11256,112.56
DataValue,0.4,0.001,0.0072696,0.11257,112.57
DataValue,0.42,0.001,0.0072804,0.11257,112.57
DataValue,0.44,0.001,0.0072893,0.112565,112.565
DataValue,0.4599999999999999,0.001,0.0072972,0.11257,112.57
DataValue,0.48,0.001,0.0073038,0.11256,112.56
DataValue,0.5,0.001,0.0073082,0.11256,112.56
DataValue,0.52,0.001,0.0073143,0.11256,112.56
DataValue,0.54,0.001,0.0073187,0.112565,112.565
DataValue,0.5599999999999999,0.001,0.0073225,0.11257,112.57
