DataName, VC, IT, IC, VT, RPT100
DataValue,2.62,0.001,0.00396698,0.112155,112.155
DataValue,2.6,0.001,0.0039587,0.112149,112.14900000000002
DataValue,2.58,0.001,0.00395068,0.11216,112.16
DataValue,2.56,0.001,0.00394334,0.1121559999999999,112.156
DataValue,2.54,0.001,0.00393576,0.112157,112.157
DataValue,2.52,0.001,0.00392872,0.112157,112.157
DataValue,2.5,0.001,0.00392236,0.112157,112.157
DataValue,2.48,0.001,0.0039165,0.112157,112.157
DataValue,2.46,0.001,0.00391072,0.112154,112.154
DataValue,2.44,0.001,0.00390506,0.112161,112.161
DataValue,2.42,0.001,0.0039,0.112158,112.158
DataValue,2.4,0.001,0.00389476,0.112159,112.159
DataValue,2.38,0.001,0.00388998,0.112157,112.157
DataValue,2.36,0.001,0.00388596,0.112153,112.153
DataValue,2.34,0.001,0.00388158,0.112157,112.157
DataValue,2.32,0.001,0.00387726,0.112162,112.162
DataValue,2.3,0.001,0.00387358,0.112154,112.154
DataValue,2.28,0.001,0.0038701,0.112153,112.153
DataValue,2.26,0.001,0.00386666,0.112155,112.155
DataValue,2.24,0.001,0.00386394,0.112158,112.158
DataValue,2.22,0.001,0.0038614,0.1121559999999999,112.156
DataValue,2.2,0.001,0.00385886,0.112157,112.157
DataValue,2.18,0.001,0.0038561999999999,0.112159,112.159
DataValue,2.16,0.001,0.00385346,0.112157,112.157
DataValue,2.14,0.001,0.00385134,0.112154,112.154
DataValue,2.12,0.001,0.00384926,0.112149,112.14900000000002
DataValue,2.1,0.001,0.00384724,0.112154,112.154
DataValue,2.08,0.001,0.0038458999999999,0.112154,112.154
DataValue,2.06,0.001,0.00384412,0.112155,112.155
DataValue,2.04,0.001,0.00384232,0.112158,112.158
DataValue,2.02,0.001,0.00384062,0.112152,112.152
DataValue,2.0,0.001,0.0038394,0.112155,112.155
DataValue,1.98,0.001,0.00383744,0.112154,112.154
DataValue,1.96,0.001,0.00383608,0.11215,112.15
DataValue,1.94,0.001,0.00383502,0.112157,112.157
DataValue,1.92,0.001,0.0038342,0.112154,112.154
DataValue,1.9,0.001,0.00383346,0.1121559999999999,112.156
DataValue,1.88,0.001,0.00383262,0.11215,112.15
DataValue,1.86,0.001,0.00383196,0.112154,112.154
DataValue,1.84,0.001,0.00383132,0.112151,112.151
DataValue,1.82,0.001,0.00383036,0.112154,112.154
DataValue,1.8,0.001,0.00382982,0.1121559999999999,112.156
DataValue,1.78,0.001,0.00382942,0.112153,112.153
DataValue,1.76,0.001,0.0038289,0.112151,112.151
DataValue,1.74,0.001,0.0038283,0.112151,112.151
DataValue,1.72,0.001,0.00382782,0.112153,112.153
DataValue,1.7,0.001,0.00382728,0.1121559999999999,112.156
