VCE ,leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
200.00000E-3,1.0378662E-3,1.3419158E-3,1.1906780E-3,1.3588129E-3,1.6232486E-3,2.0034141E-3,2.5251678E-3,2.2888991E-3,2.5643157E-3,2.9594656E-3,2.8594804E-3,3.4856924E-3,3.2431016E-3,3.5463863E-3,3.9513341E-3,3.5852688E-3,4.2314660E-3,4.0298954E-3,4.3073449E-3,4.6774370E-3,4.1864091E-3,4.8140920E-3,4.6652940E-3,4.8988276E-3,5.2317369E-3,4.6846125E-3,5.2831193E-3,5.1827462E-3,5.3724795E-3,5.6759354E-3
210.00000E-3,1.0575040E-3,1.3746732E-3,1.2124128E-3,1.3887289E-3,1.6740122E-3,2.0573421E-3,2.6177014E-3,2.3508082E-3,2.6513932E-3,3.0982211E-3,2.9627958E-3,3.6529232E-3,3.3634666E-3,3.7078123E-3,4.1782630E-3,3.7446165E-3,4.4650932E-3,4.2139030E-3,4.5362405E-3,4.9676237E-3,4.3977498E-3,5.0973442E-3,4.9048174E-3,5.1783479E-3,5.5638288E-3,4.9387790E-3,5.6019554E-3,5.4656179E-3,5.6881745E-3,6.0365862E-3
220.00000E-3,1.0719966E-3,1.3993030E-3,1.2284574E-3,1.4111019E-3,1.7131146E-3,2.0988206E-3,2.6922988E-3,2.3987186E-3,2.7210995E-3,3.2158474E-3,3.0470021E-3,3.7987101E-3,3.4629744E-3,3.8477809E-3,4.3862762E-3,3.8824596E-3,4.6805362E-3,4.3759808E-3,4.7467333E-3,5.2446624E-3,4.5893641E-3,5.3670173E-3,5.1256018E-3,5.4441602E-3,5.8869632E-3,5.1766033E-3,5.9107607E-3,5.7337733E-3,5.9938231E-3,6.3907991E-3
230.00000E-3,1.0825747E-3,1.4175389E-3,1.2401726E-3,1.4276000E-3,1.7426371E-3,2.1301116E-3,2.7509578E-3,2.4350564E-3,2.7755658E-3,3.3129956E-3,3.1139268E-3,3.9228146E-3,3.5431728E-3,3.9662517E-3,4.5737248E-3,3.9988728E-3,4.8761772E-3,4.5156147E-3,4.9372589E-3,5.5069705E-3,4.7600023E-3,5.6216094E-3,5.3260931E-3,5.6947543E-3,6.2001896E-3,5.3965445E-3,6.2085333E-3,5.9857079E-3,6.2884086E-3,6.7381013E-3
240.00000E-3,1.0902363E-3,1.4308866E-3,1.2486613E-3,1.4396406E-3,1.7645752E-3,2.1533541E-3,2.7960746E-3,2.4621690E-3,2.8172304E-3,3.3911979E-3,3.1659047E-3,4.0258544E-3,3.6062722E-3,4.0640392E-3,4.7393729E-3,4.0947630E-3,5.0506821E-3,4.6330660E-3,5.1065638E-3,5.7528757E-3,4.9088800E-3,5.8595267E-3,5.5049864E-3,5.9285302E-3,6.5024178E-3,5.5971091E-3,6.4941166E-3,6.2198250E-3,6.5707544E-3,7.0779134E-3
250.00000E-3,1.0957581E-3,1.4405773E-3,1.2547822E-3,1.4483653E-3,1.7806820E-3,2.1704158E-3,2.8301327E-3,2.4821433E-3,2.8485429E-3,3.4526501E-3,3.2054723E-3,4.1092806E-3,3.6548566E-3,4.1427612E-3,4.8825816E-3,4.1718112E-3,5.2031787E-3,4.7294346E-3,5.2538900E-3,5.9806567E-3,5.0358543E-3,6.0791350E-3,5.6614159E-3,6.1438591E-3,6.7923899E-3,5.7769816E-3,6.7661832E-3,6.4345148E-3,6.8395121E-3,7.4095205E-3
260.00000E-3,1.0997276E-3,1.4475759E-3,1.2591847E-3,1.4546591E-3,1.7924056E-3,2.1828345E-3,2.8554589E-3,2.4967227E-3,2.8717475E-3,3.4999119E-3,3.2350973E-3,4.1752189E-3,3.6915814E-3,4.2046519E-3,5.0034763E-3,4.2322838E-3,5.3334461E-3,4.8065864E-3,5.3791605E-3,6.1886370E-3,5.1415525E-3,6.2788636E-3,5.7951548E-3,6.3391969E-3,7.0686713E-3,5.9352038E-3,7.0232404E-3,6.6282877E-3,7.0931711E-3,7.7320514E-3
270.00000E-3,1.1025797E-3,1.4526159E-3,1.2623498E-3,1.4591899E-3,1.8008905E-3,2.1918234E-3,2.8740776E-3,2.5072978E-3,2.8887636E-3,3.5356033E-3,3.2569915E-3,4.2262061E-3,3.7189303E-3,4.2522867E-3,5.1030306E-3,4.2787593E-3,5.4420532E-3,4.8669468E-3,5.4830989E-3,6.3753346E-3,5.2273904E-3,6.4573643E-3,5.9067645E-3,6.5132504E-3,7.3296623E-3,6.0713753E-3,7.2636646E-3,6.7999586E-3,7.3300976E-3,8.0444634E-3
280.00000E-3,1.1046319E-3,1.4562431E-3,1.2646287E-3,1.4624514E-3,1.8070118E-3,2.1983100E-3,2.8876536E-3,2.5149406E-3,2.9011504E-3,3.5621649E-3,3.2730179E-3,4.2648953E-3,3.7390664E-3,4.2882917E-3,5.1830132E-3,4.3138454E-3,5.5303836E-3,4.9132136E-3,5.5672283E-3,6.5396598E-3,5.2954493E-3,6.6137111E-3,5.9976300E-3,6.6651807E-3,7.5736380E-3,6.1858212E-3,7.4857724E-3,6.9488601E-3,7.5486102E-3,8.3455319E-3
290.00000E-3,1.1061136E-3,1.4588569E-3,1.2662753E-3,1.4648039E-3,1.8114238E-3,2.2029873E-3,2.8975007E-3,2.5204573E-3,2.9101266E-3,3.5817132E-3,3.2846734E-3,4.2938040E-3,3.7537722E-3,4.3151127E-3,5.2457940E-3,4.3399556E-3,5.6005158E-3,4.9480719E-3,5.6337250E-3,6.6811288E-3,5.3482386E-3,6.7476070E-3,6.0698478E-3,6.7948054E-3,7.7988270E-3,6.2796659E-3,7.6879370E-3,7.0750384E-3,7.7471031E-3,8.6338485E-3
