VCE ,leafValue( DP3_IB2 "T" 20 ) (A),leafValue( DP3_IB2 "T" 22 ) (A),leafValue( DP3_IB2 "T" 24 ) (A),leafValue( DP3_IB2 "T" 26 ) (A),leafValue( DP3_IB2 "T" 28 ) (A),leafValue( DP3_IB2 "T" 30 ) (A),leafValue( DP3_IC2 "T" 20 ) (A),leafValue( DP3_IC2 "T" 22 ) (A),leafValue( DP3_IC2 "T" 24 ) (A),leafValue( DP3_IC2 "T" 26 ) (A),leafValue( DP3_IC2 "T" 28 ) (A),leafValue( DP3_IC2 "T" 30 ) (A),leafValue( B2_DP3 "T" 20 ),leafValue( B2_DP3 "T" 22 ),leafValue( B2_DP3 "T" 24 ),leafValue( B2_DP3 "T" 26 ),leafValue( B2_DP3 "T" 28 ),leafValue( B2_DP3 "T" 30 )
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-nan,-nan,-nan,-nan,-nan,-nan
1.08000,335.322E-3,295.780E-3,298.624E-3,301.463E-3,304.298E-3,307.129E-3,217.258E-3,189.917E-3,192.013E-3,194.091E-3,196.151E-3,198.191E-3,647.908E-3,642.089E-3,642.991E-3,643.829E-3,644.601E-3,645.302E-3
1.08500,349.607E-3,310.425E-3,313.245E-3,316.060E-3,318.870E-3,321.677E-3,218.442E-3,190.826E-3,192.939E-3,195.035E-3,197.114E-3,199.173E-3,624.819E-3,614.725E-3,615.936E-3,617.084E-3,618.163E-3,619.171E-3
1.09000,364.037E-3,325.243E-3,328.037E-3,330.825E-3,333.608E-3,336.388E-3,219.601E-3,191.723E-3,193.853E-3,195.966E-3,198.062E-3,200.139E-3,603.239E-3,589.475E-3,590.948E-3,592.356E-3,593.697E-3,594.966E-3
1.09500,378.603E-3,340.224E-3,342.989E-3,345.748E-3,348.503E-3,351.253E-3,220.739E-3,192.609E-3,194.755E-3,196.885E-3,198.998E-3,201.092E-3,583.037E-3,566.125E-3,567.818E-3,569.447E-3,571.008E-3,572.500E-3
1.10000,393.298E-3,355.359E-3,358.093E-3,360.821E-3,363.545E-3,366.264E-3,221.858E-3,193.488E-3,195.649E-3,197.795E-3,199.923E-3,202.034E-3,564.096E-3,544.486E-3,546.364E-3,548.179E-3,549.927E-3,551.607E-3
1.10500,408.116E-3,370.638E-3,373.340E-3,376.036E-3,378.726E-3,381.413E-3,222.959E-3,194.359E-3,196.535E-3,198.696E-3,200.839E-3,202.965E-3,546.313E-3,524.392E-3,526.425E-3,528.396E-3,530.302E-3,532.141E-3
1.11000,423.050E-3,386.053E-3,388.721E-3,391.383E-3,394.039E-3,396.691E-3,224.044E-3,195.225E-3,197.415E-3,199.590E-3,201.748E-3,203.888E-3,529.593E-3,505.695E-3,507.858E-3,509.960E-3,511.999E-3,513.972E-3
1.11500,438.095E-3,401.598E-3,404.230E-3,406.856E-3,409.477E-3,412.093E-3,225.116E-3,196.087E-3,198.290E-3,200.478E-3,202.650E-3,204.805E-3,513.851E-3,488.267E-3,490.537E-3,492.749E-3,494.899E-3,496.986E-3
1.12000,453.246E-3,417.264E-3,419.859E-3,422.448E-3,425.032E-3,427.611E-3,226.175E-3,196.945E-3,199.161E-3,201.362E-3,203.547E-3,205.715E-3,499.011E-3,471.992E-3,474.351E-3,476.654E-3,478.898E-3,481.079E-3
1.12500,468.496E-3,433.045E-3,435.602E-3,438.153E-3,440.698E-3,443.239E-3,227.222E-3,197.801E-3,200.029E-3,202.242E-3,204.440E-3,206.621E-3,485.004E-3,456.768E-3,459.201E-3,461.579E-3,463.899E-3,466.160E-3
1.13000,483.841E-3,448.935E-3,451.452E-3,453.964E-3,456.470E-3,458.972E-3,228.260E-3,198.656E-3,200.895E-3,203.120E-3,205.329E-3,207.522E-3,471.766E-3,442.504E-3,444.996E-3,447.436E-3,449.820E-3,452.146E-3
1.13500,499.276E-3,464.928E-3,467.404E-3,469.876E-3,472.342E-3,474.803E-3,229.288E-3,199.509E-3,201.759E-3,203.995E-3,206.216E-3,208.421E-3,459.242E-3,429.119E-3,431.658E-3,434.147E-3,436.583E-3,438.964E-3
1.14000,514.797E-3,481.017E-3,483.453E-3,485.883E-3,488.308E-3,490.728E-3,230.309E-3,200.363E-3,202.623E-3,204.870E-3,207.102E-3,209.318E-3,447.379E-3,416.539E-3,419.116E-3,421.645E-3,424.122E-3,426.546E-3
1.14500,530.400E-3,497.199E-3,499.592E-3,501.980E-3,504.363E-3,506.742E-3,231.324E-3,201.216E-3,203.487E-3,205.744E-3,207.987E-3,210.214E-3,436.130E-3,404.700E-3,407.306E-3,409.865E-3,412.375E-3,414.833E-3
1.15000,546.081E-3,513.468E-3,515.819E-3,518.164E-3,520.504E-3,522.840E-3,232.332E-3,202.071E-3,204.351E-3,206.618E-3,208.871E-3,211.108E-3,425.453E-3,393.542E-3,396.169E-3,398.751E-3,401.286E-3,403.772E-3
1.15500,561.836E-3,529.820E-3,532.127E-3,534.428E-3,536.725E-3,539.018E-3,233.335E-3,202.928E-3,205.217E-3,207.493E-3,209.756E-3,212.002E-3,415.307E-3,383.012E-3,385.654E-3,388.253E-3,390.806E-3,393.312E-3
1.16000,577.662E-3,546.250E-3,548.512E-3,550.769E-3,553.023E-3,555.272E-3,234.333E-3,203.786E-3,206.084E-3,208.369E-3,210.641E-3,212.897E-3,405.658E-3,373.064E-3,375.715E-3,378.324E-3,380.890E-3,383.410E-3
1.16500,593.555E-3,562.754E-3,564.971E-3,567.184E-3,569.393E-3,571.598E-3,235.328E-3,204.647E-3,206.953E-3,209.247E-3,211.527E-3,213.792E-3,396.472E-3,363.652E-3,366.307E-3,368.923E-3,371.496E-3,374.026E-3
1.17000,609.512E-3,579.329E-3,581.500E-3,583.668E-3,585.832E-3,587.992E-3,236.319E-3,205.510E-3,207.824E-3,210.127E-3,212.415E-3,214.689E-3,387.719E-3,354.738E-3,357.393E-3,360.011E-3,362.588E-3,365.123E-3
1.17500,625.530E-3,595.970E-3,598.096E-3,600.218E-3,602.336E-3,604.451E-3,237.308E-3,206.376E-3,208.698E-3,211.009E-3,213.305E-3,215.587E-3,379.372E-3,346.286E-3,348.938E-3,351.553E-3,354.130E-3,356.666E-3
1.18000,641.606E-3,612.674E-3,614.754E-3,616.830E-3,618.902E-3,620.972E-3,238.295E-3,207.246E-3,209.575E-3,211.893E-3,214.198E-3,216.487E-3,371.404E-3,338.264E-3,340.909E-3,343.520E-3,346.093E-3,348.627E-3
1.18500,657.738E-3,629.439E-3,631.472E-3,633.502E-3,635.528E-3,637.551E-3,239.281E-3,208.119E-3,210.456E-3,212.781E-3,215.092E-3,217.390E-3,363.793E-3,330.642E-3,333.278E-3,335.880E-3,338.447E-3,340.976E-3
1.19000,673.923E-3,646.261E-3,648.247E-3,650.229E-3,652.209E-3,654.186E-3,240.265E-3,208.996E-3,211.339E-3,213.671E-3,215.990E-3,218.295E-3,356.517E-3,323.392E-3,326.017E-3,328.609E-3,331.167E-3,333.689E-3
1.19500,690.158E-3,663.136E-3,665.075E-3,667.011E-3,668.944E-3,670.874E-3,241.248E-3,209.877E-3,212.227E-3,214.566E-3,216.891E-3,219.203E-3,349.555E-3,316.491E-3,319.102E-3,321.682E-3,324.229E-3,326.742E-3
1.20000,706.441E-3,680.064E-3,681.955E-3,683.843E-3,685.729E-3,687.613E-3,242.231E-3,210.762E-3,213.118E-3,215.463E-3,217.796E-3,220.114E-3,342.890E-3,309.915E-3,312.511E-3,315.077E-3,317.612E-3,320.113E-3
1.20500,722.770E-3,697.039E-3,698.883E-3,700.724E-3,702.562E-3,704.399E-3,243.214E-3,211.651E-3,214.014E-3,216.365E-3,218.704E-3,221.028E-3,336.503E-3,303.643E-3,306.223E-3,308.774E-3,311.294E-3,313.782E-3
